iter	Passed	Remaining
0	4	428
1	9	445
2	13	433
3	15	372
4	18	352
5	21	336
6	23	318
7	28	322
8	64	648
9	67	608
10	71	575
11	79	582
12	111	743
13	115	710
14	119	679
15	123	647
16	136	665
17	139	634
18	141	602
19	143	573
20	146	550
21	150	533
22	153	515
23	156	496
24	159	478
25	176	503
26	181	491
27	184	473
28	187	458
29	189	441
30	191	425
31	193	411
32	202	411
33	205	398
34	208	386
35	210	374
36	274	467
37	278	453
38	281	439
39	284	426
40	287	413
41	288	398
42	290	385
43	292	372
44	294	360
45	297	349
46	302	341
47	318	344
48	323	337
49	326	326
50	328	316
51	332	307
52	336	298
53	340	289
54	341	279
55	344	270
56	346	261
57	351	254
58	371	258
59	374	249
60	376	240
61	391	239
62	394	231
63	396	223
64	435	234
65	438	226
66	444	218
67	447	210
68	449	202
69	452	193
70	483	197
71	493	192
72	496	183
73	498	175
74	501	167
75	504	159
76	506	151
77	509	143
78	511	135
79	529	132
80	532	124
81	534	117
82	536	109
83	546	104
84	548	96
85	552	89
86	554	82
87	557	75
88	559	69
89	562	62
90	565	55
91	567	49
92	569	42
93	572	36
94	574	30
95	607	25
96	610	18
97	618	12
98	634	6
99	643	0
